date,location,cases,deaths,tests,percent_positivity,CFR
2020-01,Puerto Rico,0.0,0.0,0.0,NaN,NaN
2020-01,Qatar,0.0,0.0,0.0,NaN,NaN
2020-01,Reunion,0.0,0.0,0.0,NaN,NaN
2020-01,Romania,0.0,0.0,0.0,NaN,NaN
2020-01,Russia,0.0,0.0,0.0,NaN,NaN
2020-01,Rwanda,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Barthelemy,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Helena,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Kitts and Nevis,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Lucia,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Martin (French part),0.0,0.0,0.0,NaN,NaN
2020-01,Saint Pierre and Miquelon,0.0,0.0,0.0,NaN,NaN
2020-01,Saint Vincent and the Grenadines,0.0,0.0,0.0,NaN,NaN
2020-01,Samoa,0.0,0.0,0.0,NaN,NaN
2020-01,San Marino,0.0,0.0,0.0,NaN,NaN
2020-01,Sao Tome and Principe,0.0,0.0,0.0,NaN,NaN
2020-01,Saudi Arabia,0.0,0.0,0.0,NaN,NaN
2020-01,Senegal,0.0,0.0,0.0,NaN,NaN
2020-01,Serbia,0.0,0.0,0.0,NaN,NaN
2020-01,Seychelles,0.0,0.0,0.0,NaN,NaN
2020-01,Sierra Leone,0.0,0.0,0.0,NaN,NaN
2020-01,Singapore,4.0,0.0,0.0,NaN,0.0
2020-01,Sint Maarten (Dutch part),0.0,0.0,0.0,NaN,NaN
2020-01,Slovakia,0.0,0.0,0.0,NaN,NaN
2020-01,Slovenia,0.0,0.0,0.0,NaN,NaN
2020-01,Solomon Islands,0.0,0.0,0.0,NaN,NaN
2020-01,Somalia,0.0,0.0,0.0,NaN,NaN
2020-01,South Africa,0.0,0.0,0.0,NaN,NaN
2020-01,South America,0.0,0.0,0.0,NaN,NaN
2020-01,South Korea,3.0,0.0,0.0,NaN,0.0
2020-01,South Sudan,0.0,0.0,0.0,NaN,NaN
2020-01,Spain,3.0,0.0,0.0,NaN,0.0
2020-01,Sri Lanka,0.0,0.0,0.0,NaN,NaN
2020-01,Sudan,0.0,0.0,0.0,NaN,NaN
2020-01,Suriname,0.0,0.0,0.0,NaN,NaN
2020-01,Sweden,0.0,0.0,0.0,NaN,NaN
2020-01,Switzerland,0.0,0.0,0.0,NaN,NaN
2020-01,Syria,0.0,0.0,0.0,NaN,NaN
2020-01,Taiwan,0.0,0.0,916.0,0.0,NaN
2020-01,Tajikistan,0.0,0.0,0.0,NaN,NaN
2020-01,Tanzania,0.0,0.0,0.0,NaN,NaN
2020-01,Thailand,6.0,0.0,846.0,0.0070921985815602835,0.0
2020-01,Timor,0.0,0.0,0.0,NaN,NaN
2020-01,Togo,0.0,0.0,0.0,NaN,NaN
2020-01,Tokelau,0.0,0.0,0.0,NaN,NaN
2020-01,Tonga,0.0,0.0,0.0,NaN,NaN
2020-01,Trinidad and Tobago,0.0,0.0,0.0,NaN,NaN
2020-01,Tunisia,0.0,0.0,0.0,NaN,NaN
2020-01,Turkey,0.0,0.0,0.0,NaN,NaN
2020-01,Turkmenistan,0.0,0.0,0.0,NaN,NaN
2020-01,Turks and Caicos Islands,0.0,0.0,0.0,NaN,NaN
2020-01,Tuvalu,0.0,0.0,0.0,NaN,NaN
2020-01,Uganda,0.0,0.0,0.0,NaN,NaN
2020-01,Ukraine,0.0,0.0,0.0,NaN,NaN
2020-01,United Arab Emirates,0.0,0.0,75.0,0.0,NaN
2020-01,United Kingdom,0.0,0.0,0.0,NaN,NaN
2020-01,United States,7.0,0.0,0.0,NaN,0.0
2020-01,United States Virgin Islands,0.0,0.0,0.0,NaN,NaN
2020-01,Upper middle income,1995.0,56.0,0.0,NaN,0.028070175438596492
2020-01,Uruguay,0.0,0.0,0.0,NaN,NaN
2020-01,Uzbekistan,0.0,0.0,0.0,NaN,NaN
2020-01,Vanuatu,0.0,0.0,0.0,NaN,NaN
2020-01,Vatican,0.0,0.0,0.0,NaN,NaN
2020-01,Venezuela,0.0,0.0,0.0,NaN,NaN
2020-01,Vietnam,2.0,0.0,0.0,NaN,0.0
2020-01,Wallis and Futuna,0.0,0.0,0.0,NaN,NaN
2020-01,World,2033.0,62.0,0.0,NaN,0.030496802754549926
2020-01,Yemen,0.0,0.0,0.0,NaN,NaN
2020-01,Zambia,0.0,0.0,0.0,NaN,NaN
2020-01,Zimbabwe,0.0,0.0,0.0,NaN,NaN
2020-02,Afghanistan,0.0,0.0,0.0,NaN,NaN
2020-02,Africa,1.0,0.0,0.0,NaN,0.0
2020-02,Albania,0.0,0.0,26.0,0.0,NaN
2020-02,Algeria,0.0,0.0,0.0,NaN,NaN
2020-02,American Samoa,0.0,0.0,0.0,NaN,NaN
2020-02,Andorra,0.0,0.0,0.0,NaN,NaN
2020-02,Angola,0.0,0.0,0.0,NaN,NaN
2020-02,Anguilla,0.0,0.0,0.0,NaN,NaN
2020-02,Antigua and Barbuda,0.0,0.0,0.0,NaN,NaN
2020-02,Argentina,0.0,0.0,102.0,0.0,NaN
2020-02,Armenia,0.0,0.0,118.0,0.0,NaN
2020-02,Aruba,0.0,0.0,0.0,NaN,NaN
2020-02,Asia,75958.0,2400.0,0.0,NaN,0.03159640854156244
2020-02,Australia,18.0,0.0,0.0,NaN,0.0
2020-02,Austria,0.0,0.0,0.0,NaN,NaN
2020-02,Azerbaijan,0.0,0.0,0.0,NaN,NaN
2020-02,Bahamas,0.0,0.0,0.0,NaN,NaN
2020-02,Bahrain,0.0,0.0,0.0,NaN,NaN
2020-02,Bangladesh,0.0,0.0,0.0,NaN,NaN
2020-02,Barbados,0.0,0.0,0.0,NaN,NaN
2020-02,Belarus,0.0,0.0,0.0,NaN,NaN
2020-02,Belgium,1.0,0.0,0.0,NaN,0.0
2020-02,Belize,0.0,0.0,0.0,NaN,NaN
