location,date,sero_study_participants,avg_seroprevalence
France,2021-04,1309,0.1475905271199389
France,2021-07,1907,0.7683209229155743
French Guiana,2020-07,1440,0.07550763888888888
French Polynesia,2021-12,3365,0.8508537890044576
Gabon,2021-06,4780,0.10922719665271967
Georgia,2020-05,9666,0.002945230705565901
Germany,2020-03,2550,0.0007599999999999999
Germany,2020-04,25923,0.0089510951664545
Germany,2020-05,22953,0.02187729272861935
Germany,2020-06,2167,0.012854591601292108
Germany,2020-07,20420,0.024451860920666018
Germany,2020-08,13730,0.006592425345957756
Germany,2020-09,26113,0.008178041971431854
Germany,2020-10,62157,0.008929764950045853
Germany,2020-11,51203,0.018653239068023356
Germany,2020-12,79099,0.01488752575885915
Germany,2021-01,3249,0.06144136657433056
Germany,2021-02,6722,0.03400446295745314
Germany,2021-03,16506,0.07509663152792924
Germany,2021-04,15975,0.06405190610328637
Germany,2021-05,1296,0.0077
Germany,2021-06,4745,0.0937321812434141
Germany,2021-08,1074,0.2814422718808194
Germany,2021-10,9100,0.08103714285714285
Germany,2022-03,9489,0.24791263568342292
Germany,2022-07,277,0.643
Germany,2022-08,63146,0.7259521109809014
Ghana,2020-11,3597,0.23426244092299137
Ghana,2021-03,340,0.34500000000000003
Greece,2020-03,8300,0.0002
Greece,2020-04,19539,0.0015757152361942782
Greece,2020-06,4993,0.0025988584017624674
Greece,2020-07,40297,0.0022500955406109637
Greece,2020-08,4996,0.0092
Greece,2020-09,7789,0.0075
Greece,2020-10,8160,0.013700000000000002
Greece,2020-11,7069,0.024
Greece,2020-12,6231,0.067
Guadeloupe,2020-08,892,0.036000000000000004
Guinea,2020-12,8388,0.2801087267525036
Haiti,2020-02,257,0.127
Haiti,2020-04,257,0.127
Haiti,2021-03,1589,0.2346154814348647
Hungary,2020-05,41896,0.00380645885048692
Hungary,2020-07,7948,0.010739053850025163
Iceland,2020-02,470,0.0029999999999999996
Iceland,2020-05,18609,0.0014584878284700953
India,2020-05,84000,0.003733333333333333
India,2020-06,87398,0.11980147715050687
India,2020-07,123445,0.21504769897525217
India,2020-08,118214,0.23309172441504392
India,2020-09,257082,0.14427279661742165
India,2020-10,146094,0.2723166379180528
India,2020-11,104986,0.2981570399862839
India,2020-12,170561,0.2430416730671138
India,2021-01,103557,0.5154440684840232
India,2021-02,168556,0.18714728280215476
India,2021-03,26697,0.42430901599430654
India,2021-04,125415,0.259723581708727
India,2021-05,2060,0.5250135922330097
India,2021-06,37295,0.6886546453948249
India,2021-07,121224,0.6182666757407774
India,2021-08,7040,0.4638791193181818
India,2021-09,38902,0.6974129659143488
India,2021-10,111244,0.90325
India,2022-01,32244,0.901
Indonesia,2021-01,3196,0.2544
Iran (Islamic Republic of),2020-04,7379,0.17212939422686002
Iran (Islamic Republic of),2020-05,26426,0.1444515855596761
Iran (Islamic Republic of),2020-06,716,0.08800000000000001
Iran (Islamic Republic of),2020-09,61363,0.12387774391734434
Iran (Islamic Republic of),2020-10,24401,0.22885193229785666
Iran (Islamic Republic of),2020-11,3152,0.2993
Iran (Islamic Republic of),2021-02,44466,0.2213528088876895
Ireland,2020-02,1047,0.0002
Ireland,2020-03,1033,0.0006
Ireland,2020-04,1342,0.0207
Ireland,2020-05,35313,0.018510809050491323
Ireland,2020-06,3303,0.04957720254314259
Ireland,2020-07,9781,0.010833043656067886
Ireland,2020-08,663,0.022
Ireland,2020-09,666,0.014900000000000002
Ireland,2021-10,955,0.08818010471204189
Ireland,2021-11,25007,0.8402470108369654
Ireland,2021-12,1708,0.11577985948477752
Ireland,2022-01,974,0.19589219712525668
Ireland,2022-02,9251,0.691295103232083
Ireland,2022-06,207,0.7659999999999999
Ireland,2022-07,72,0.755
Israel,2020-04,874,0.006
Israel,2020-05,428,0.0024
Israel,2020-08,222768,0.038350835847159384
Italy,2019-11,910,0.0025
Italy,2020-01,451,0.0
Italy,2020-03,8796,0.08197999090495679
Italy,2020-04,14537,0.03806507532503267
Italy,2020-05,157491,0.0869036789403839
Italy,2020-06,44308,0.0696416719328338
Italy,2020-07,9769,0.04225212406592282
Italy,2020-08,564,0.010900000000000002
Italy,2020-09,1109,0.019
Italy,2021-01,1109,0.106
Italy,2021-02,2423,0.02
Italy,2021-04,868,0.1017442396313364
Japan,2020-03,300,0.0
Japan,2020-04,1308,0.021414373088685018
Japan,2020-05,5833,0.02000132007543288
Japan,2020-06,43750,0.0005833664
Japan,2020-07,6374,0.001477496077816128
Japan,2020-08,7373,0.0025866811338668117
Japan,2020-09,5027,0.0069453749751342735
Japan,2020-10,6917,0.003975466242590719
Japan,2020-11,10345,0.005739333011116482
Japan,2020-12,142556,0.01248786722410842
Japan,2021-01,5407,0.008147512483817275
Japan,2021-02,4826,0.01401653543307087
Japan,2021-03,3034,0.026100000000000005
Japan,2021-04,139,0.04917985611510792
Japan,2021-06,360,0.31046999999999997
Japan,2021-07,804,0.00022
Japan,2022-02,2554,0.929
Japan,2022-11,8260,0.256
Jersey,2020-05,3834,0.023755868544600944
Jersey,2020-06,2772,0.029
Jordan,2020-03,736,0.0
Jordan,2020-08,4704,0.002
Jordan,2020-09,348,0.0
Jordan,2020-10,5470,0.068
Jordan,2021-01,5044,0.338
Jordan,2021-02,292,0.225
Jordan,2021-07,8821,0.731
Kazakhstan,2020-12,5739,0.5475826799093918
Kazakhstan,2021-01,85346,0.627
Kazakhstan,2021-04,99,0.534
Kenya,2020-05,3362,0.037000000000000005
Kenya,2020-07,43526,0.07274550843174195
Kenya,2020-08,196,0.4270000000000001
Kenya,2020-09,3805,0.07437077529566359
Kenya,2020-10,2527,0.29967079540957664
Kenya,2020-11,4810,0.2862735966735967
Kenya,2020-12,1769,0.31500791407574896
Kenya,2021-02,19229,0.4099911591866452
Kenya,2021-03,1110,0.3147927927927928
Kenya,2021-04,853,0.3410000000000001
Kenya,2021-05,652,0.24231288343558283
Kenya,2021-07,260,0.544
Kenya,2021-09,245,0.7829999999999999
Kenya,2021-10,602,0.6009750830564785
Kenya,2022-01,98,0.6689999999999999
Kenya,2022-02,3182,0.89
Kenya,2022-03,3408,0.6527570422535212
Kenya,2022-04,3404,0.8539541715628671
